# wave rel_strength element
3814.50 0.066 Fe
3814.61 0.073 Ti
3814.78 0.098 Fe
3815.34 0.028 Fe
3815.38 0.014 V
3815.74 0.184 Fe
3815.94 0.185 Fe
3816.34 0.104 Fe
3816.47 0.043 Co
3816.92 0.053 Fe
3817.59 0.047 Zr
3817.64 0.131 Fe
3818.24 0.057 V
3818.34 0.092 Y
3819.49 0.079 Fe
3819.56 0.021 Cr
3819.63 0.042 Fe
3820.27 0.257 Fe
3820.58 0.257 Fe
3821.18 0.110 Fe
3821.49 0.010 V
3821.84 0.149 Fe
3822.00 0.026 V
3822.84 0.030 Fe
3822.89 0.015 V
3823.21 0.015 V
3823.51 0.133 Mn
3823.82 0.012 Fe
3823.89 0.054 Mn
3824.10 0.047 Fe
3824.33 0.185 Fe
3824.55 0.178 Fe
3824.92 0.140 Fe
3825.41 0.150 Fe
3825.75 0.238 Fe
3826.01 0.239 Fe
3826.63 0.114 Fe
3826.84 0.144 Fe
3827.09 0.016 Fe
3827.30 0.030 Fe
3827.58 0.165 Fe
3827.73 0.150 Fe
3827.91 0.149 Fe
3828.14 0.060 Fe
3828.50 0.051 Fe
3828.56 0.076 V
3829.13 0.031 Fe
3829.26 0.132 Mg
3829.45 0.089 Mg
3829.46 0.059 Fe
3829.74 0.137 Fe
3830.61 0.012 Ni
3830.84 0.129 Fe
3831.63 0.093 Mg
3831.71 0.046 Ni
3831.77 0.046 Mg
3832.18 0.192 Mg
3832.43 0.191 Mg
3832.86 0.040 Ni
3832.90 0.099 Y
3832.97 0.011 Mg
3833.07 0.140 Sc
3833.31 0.128 Fe
3833.86 0.044 Mn
3834.11 0.192 Fe
3834.32 0.156 Fe
3834.36 0.058 Mn
3836.08 0.114 Ti
3836.33 0.137 Fe
3836.76 0.132 Zr
3836.91 0.012 Fe
3837.13 0.137 Fe
3838.15 0.216 Mg
3838.44 0.204 Mg
3839.26 0.115 Fe
3839.78 0.037 Mn
3840.34 0.164 Fe
3840.54 0.165 Fe
3840.75 0.091 V
3840.96 0.131 Fe
3841.13 0.128 Fe
3841.45 0.043 Co
3842.05 0.138 Co
3842.78 0.026 Mg
3842.90 0.097 Fe
3842.99 0.067 Zr
3843.05 0.165 Sc
3843.26 0.110 Fe
3843.98 0.035 Mn
3844.44 0.021 V
3845.17 0.154 Fe
3845.47 0.092 Co
3845.69 0.068 Fe
3845.98 0.081 Fe
3846.41 0.128 Fe
3846.63 0.058 Fe
3846.80 0.114 Fe
3846.93 0.122 Fe
3847.33 0.025 V
3848.29 0.072 Fe
3849.37 0.011 Cr
3849.53 0.019 Cr
3849.89 0.115 Fe
3850.04 0.112 Fe
3850.82 0.079 Fe
3850.95 0.047 Co
3852.21 0.021 Cr
3852.57 0.104 Fe
3853.04 0.016 Ti
3853.46 0.051 Fe
3853.72 0.014 Ti
3854.36 0.112 Fe
3855.31 0.032 Fe
3855.36 0.058 V
3855.84 0.082 V
3855.85 0.053 Fe
3856.01 0.015 Si
3856.27 0.166 Fe
3856.47 0.167 Fe
3857.82 0.015 Fe
3858.14 0.017 Ti
3858.30 0.077 Ni
3858.47 0.052 Fe
3858.75 0.016 Fe
3858.93 0.022 Fe
3859.22 0.104 Fe
3859.76 0.245 Fe
3860.06 0.245 Fe
3860.71 0.029 Fe
3861.16 0.185 Co
3861.34 0.152 Fe
3861.59 0.081 Fe
3862.36 0.010 Fe
3863.06 0.015 Ni
3863.73 0.167 Fe
3863.79 0.026 V
3863.87 0.012 Zr
3864.10 0.030 Mo
3864.30 0.042 Fe
3864.50 0.011 Fe
3864.86 0.065 V
3865.45 0.108 Fe
3865.59 0.103 Fe
3866.44 0.020 Ti
3866.72 0.040 V
3866.86 0.016 Fe
3867.00 0.025 Fe
3867.22 0.123 Fe
3867.44 0.015 Fe
3867.60 0.011 V
3867.92 0.113 Fe
3868.23 0.053 Fe
3868.40 0.017 Ti
3869.58 0.197 Fe
3870.18 0.030 Fe
3870.48 0.021 Ca
3870.79 0.037 Fe
3871.22 0.011 Fe
3871.36 0.124 12CH
3871.57 0.129 12CH
3871.65 0.014 13CH
3871.70 0.166 12CH
3871.74 0.113 Fe
3871.83 0.011 13CH
3871.87 0.150 12CH
3871.99 0.011 13CH
3872.06 0.142 12CH
3872.29 0.103 12CH
3872.43 0.110 Fe
3872.58 0.107 Fe
3872.72 0.012 13CH
3872.73 0.134 12CH
3872.76 0.067 Fe
3872.82 0.142 12CH
3872.92 0.106 Fe
3873.00 0.011 13CH
3873.08 0.141 12CH
3873.12 0.084 Co
3873.20 0.011 Ti
3873.56 0.087 12CH
3873.76 0.103 Fe
3873.95 0.112 Co
3874.05 0.041 Fe
3874.06 0.107 12CH
3874.54 0.130 12CH
3874.78 0.138 12CH
3875.07 0.068 V
3875.25 0.024 Ti
3875.31 0.067 12CH
3875.78 0.041 Ca
3875.90 0.016 V
3875.96 0.090 12CH
3876.04 0.115 Fe
3876.09 0.022 V
3876.84 0.146 Co
3876.96 0.056 Ni
3876.98 0.126 12CH
3877.06 0.010 13CH
3877.19 0.133 12CH
3877.47 0.043 12CH
3877.94 0.118 Fe
3878.12 0.132 Fe
3878.31 0.146 Mg
3878.41 0.069 12CH
3878.48 0.141 Fe
3878.72 0.136 Fe
3878.77 0.020 12CH
3880.19 0.120 12CH
3880.39 0.126 12CH
3881.39 0.019 Ti
3881.48 0.044 12CH
3881.88 0.118 Co
3881.97 0.046 Fe
3882.29 0.157 Ti
3882.89 0.045 Ti
3883.28 0.113 Fe
3883.30 0.015 Cr
3884.23 0.113 12CH
3884.36 0.130 Fe
3884.41 0.116 12CH
3884.60 0.057 Co
3884.66 0.020 Fe
3884.84 0.020 V
3885.14 0.054 Fe
3885.21 0.052 Cr
3885.27 0.028 Co
3885.42 0.010 Zr
3885.51 0.120 Fe
3885.75 0.086 Fe
3885.87 0.021 Ni
3886.17 0.196 Fe
3886.40 0.177 Fe
3886.41 0.058 12CH
3886.80 0.043 Cr
3886.98 0.102 Fe
3887.12 0.100 Fe
3888.43 0.132 Fe
3888.82 0.087 Fe
3888.91 0.102 12CH
3888.93 0.015 13CH
3889.15 0.127 12CH
3889.40 0.107 12CH
3889.67 0.060 Ni
3889.70 0.012 13CH
3889.85 0.147 12CH
3889.95 0.019 Ti
3890.18 0.021 V
3890.22 0.039 12CH
3890.39 0.052 Fe
3890.40 0.011 13CH
3890.56 0.143 12CH
3890.84 0.141 Fe
3891.03 0.015 13CH
3891.19 0.181 12CH
3891.50 0.011 Fe
3891.93 0.121 Fe
3892.31 0.030 Fe
3892.41 0.014 13CH
3892.59 0.175 12CH
3892.85 0.019 V
3892.89 0.018 13CH
3892.91 0.057 Fe
3893.06 0.210 12CH
3893.35 0.174 Fe
3893.93 0.149 Fe
3894.11 0.099 Co
3894.48 0.020 Fe
3894.88 0.020 13CH
3894.98 0.153 Co
3895.09 0.232 12CH
3895.24 0.015 Ti
3895.27 0.020 13CH
3895.46 0.234 12CH
3895.58 0.103 Fe
3895.74 0.107 Fe
3896.07 0.039 Fe
3896.14 0.049 V
3896.53 0.070 12CH
3897.45 0.107 Fe
3897.48 0.094 12CH
3897.86 0.019 13CH
3897.92 0.137 Fe
3898.07 0.218 12CH
3898.18 0.022 13CH
3898.39 0.242 12CH
3898.49 0.019 Ti
3899.03 0.135 Fe
3899.13 0.064 V
3899.62 0.125 Fe
3899.80 0.125 Fe
3900.48 0.011 Fe
3900.56 0.074 Ti
3900.96 0.060 Ti
3901.36 0.021 13CH
3901.59 0.231 12CH
3901.63 0.024 13CH
3901.87 0.267 12CH
3902.23 0.085 12CH
3902.25 0.074 V
3902.39 0.076 12CH
3902.62 0.114 12CH
3902.88 0.087 Fe
3903.01 0.092 Fe
3903.25 0.096 V
3903.84 0.123 Mg
3903.91 0.085 Fe
3904.08 0.069 Fe
3904.68 0.011 Si
3904.78 0.137 Ti
3905.39 0.206 Si
3905.41 0.021 13CH
3905.64 0.024 13CH
3905.64 0.128 Si
3905.67 0.238 12CH
3905.90 0.255 12CH
3906.02 0.031 Si
3906.29 0.079 Co
3906.44 0.070 Fe
3906.52 0.071 Fe
3906.75 0.119 Fe
3906.96 0.047 Fe
3907.46 0.078 Fe
3907.54 0.073 Sc
3907.77 0.109 12CH
3907.93 0.141 Fe
3908.27 0.130 12CH
3908.68 0.010 Fe
3908.76 0.080 Cr
3908.84 0.014 Fe
3909.66 0.087 Fe
3909.83 0.128 Fe
3909.93 0.197 Co
3910.03 0.022 13CH
3910.23 0.028 13CH
3910.33 0.241 12CH
3910.54 0.261 12CH
3910.80 0.048 12CH
3910.85 0.110 Fe
3911.00 0.091 Fe
3911.70 0.012 Fe
3911.85 0.091 Sc
3913.25 0.011 Ca
3913.46 0.082 Ti
3913.63 0.140 Fe
3913.85 0.012 Ca
3914.01 0.125 12CH
3914.12 0.011 Ca
3914.12 0.011 13CH
3914.19 0.035 Ti
3914.27 0.058 Fe
3914.31 0.038 V
3914.34 0.073 Ti
3914.42 0.142 12CH
3914.51 0.093 Fe
3914.64 0.013 Ca
3914.73 0.019 Ti
3915.13 0.014 Ca
3915.28 0.021 13CH
3915.36 0.014 Ca
3915.45 0.023 13CH
3915.47 0.012 Fe
3915.61 0.238 12CH
3915.70 0.012 Ca
3915.79 0.251 12CH
3915.90 0.012 Ca
3915.96 0.082 Zr
3916.12 0.015 Ca
3916.24 0.023 Cr
3916.30 0.015 Ca
3916.41 0.082 V
3916.57 0.016 Ca
3916.73 0.139 Fe
3916.98 0.016 Ca
3917.11 0.016 Co
3917.18 0.084 Fe
3918.15 0.019 Ca
3918.37 0.173 Fe
3918.52 0.017 Ca
3918.63 0.152 Fe
3918.91 0.021 Ca
3919.07 0.132 Fe
3919.16 0.116 Cr
3919.92 0.023 Ca
3920.18 0.092 Fe
3920.33 0.092 Fe
3920.38 0.011 13CH
3920.50 0.023 Ca
3920.62 0.033 Fe
3920.72 0.159 12CH
3920.73 0.012 13CH
3920.84 0.069 Fe
3920.93 0.025 Ca
3921.02 0.032 Cr
3921.05 0.043 Fe
3921.07 0.153 12CH
3921.17 0.021 13CH
3921.24 0.025 Fe
3921.31 0.026 Ca
3921.32 0.022 13CH
3921.42 0.068 Ti
3921.55 0.235 12CH
3921.63 0.023 Ca
3921.71 0.245 12CH
3921.98 0.032 Ca
3922.08 0.013 Fe
3922.35 0.034 Ca
3922.53 0.034 Ca
3922.69 0.071 Fe
3922.75 0.029 Co
3922.83 0.105 Fe
3923.00 0.116 Fe
3923.38 0.040 Ca
3923.48 0.027 Sc
3924.38 0.049 Ca
3924.53 0.133 Ti
3925.06 0.056 Ca
3925.20 0.056 Fe
3925.49 0.061 Ca
3925.64 0.127 Fe
3925.80 0.065 Ca
3925.97 0.179 Fe
3926.39 0.075 Ca
3926.48 0.011 V
3926.84 0.084 Ca
3927.37 0.094 Ca
3927.54 0.011 13CH
3927.63 0.098 Ca
3927.83 0.092 Fe
3927.87 0.031 13CH
3927.93 0.142 12CH
3928.06 0.147 Fe
3928.15 0.064 Ca
3928.22 0.330 12CH
3928.52 0.131 Ca
3928.64 0.036 Cr
3928.99 0.152 Ca
3929.15 0.063 Fe
3929.62 0.182 Ca
3929.72 0.018 V
3929.76 0.178 Ca
3929.87 0.080 Ti
3930.02 0.197 Ca
3930.21 0.065 Fe
3930.38 0.061 Fe
3930.79 0.259 Ca
3930.99 0.274 Ca
3931.12 0.018 Fe
3931.21 0.265 Ca
3931.53 0.297 Ca
3932.01 0.021 Ti
3932.14 0.243 Ca
3932.41 0.017 12CH
3932.72 0.096 Ca
3935.20 0.239 Ca
3935.22 0.032 13CH
3935.45 0.279 Ca
3935.49 0.013 13CH
3935.65 0.332 12CH
3935.68 0.174 Ca
3935.82 0.032 Fe
3935.88 0.169 Ca
3935.93 0.159 12CH
3935.97 0.041 Co
3936.15 0.288 Ca
3937.33 0.072 Fe
3937.47 0.199 Ca
3937.72 0.053 Fe
3937.85 0.178 Ca
3938.09 0.165 Ca
3938.29 0.085 Fe
3938.40 0.060 Mg
3938.54 0.144 Ca
3940.87 0.076 Fe
3941.04 0.075 Ca
3941.27 0.096 Fe
3941.39 0.067 Ca
3941.49 0.036 Cr
3941.59 0.066 Ca
3941.73 0.130 Co
3941.93 0.061 Ca
3942.43 0.138 Fe
3942.60 0.054 Ca
3942.78 0.084 Fe
3942.93 0.051 Ca
3943.34 0.095 Fe
3943.39 0.028 13CH
3943.48 0.045 Ca
3943.57 0.025 Fe
3943.67 0.043 Ca
3943.68 0.013 13CH
3943.91 0.334 12CH
3944.05 0.079 Al
3944.10 0.013 Ni
3944.16 0.158 12CH
3944.33 0.040 Ca
3944.74 0.047 Fe
3944.79 0.034 Ca
3944.89 0.095 Fe
3945.00 0.034 Ca
3945.13 0.137 Fe
3945.26 0.027 Ca
3945.33 0.094 Co
3945.48 0.034 Ca
3946.03 0.033 Ca
3947.00 0.114 Fe
3947.21 0.028 Ca
3947.38 0.053 Fe
3947.42 0.024 Ca
3947.53 0.139 Fe
3947.64 0.025 Ca
3947.77 0.140 Ti
3947.92 0.026 Ca
3948.10 0.137 Fe
3948.25 0.025 Ca
3948.38 0.025 Ca
3948.67 0.146 Ti
3948.77 0.130 Fe
3948.90 0.053 Ca
3949.15 0.038 Fe
3949.35 0.023 Ca
3949.95 0.102 Fe
3950.13 0.022 Ca
3950.35 0.140 Y
3950.57 0.022 Ca
3950.81 0.022 Ca
3950.83 0.022 Ca
3951.16 0.129 Fe
3951.35 0.021 Ca
3951.78 0.021 Ca
3951.96 0.117 V
3952.11 0.021 Ca
3952.21 0.012 13CH
3952.32 0.025 Co
3952.41 0.032 13CH
3952.47 0.020 Ca
3952.64 0.180 Fe
3952.74 0.146 12CH
3952.82 0.017 Ca
3952.91 0.128 Co
3952.98 0.306 12CH
3953.05 0.012 Ca
3953.15 0.113 Fe
3953.38 0.021 Ca
3953.69 0.021 Ca
3953.86 0.056 Fe
3954.40 0.021 Ca
3954.62 0.021 Ca
3955.07 0.022 Ca
3955.34 0.103 Fe
3955.51 0.022 Ca
3955.72 0.022 Ca
3955.81 0.022 Ca
3955.95 0.073 Fe
3956.14 0.023 Ca
3956.33 0.145 Ti
3956.39 0.012 Ca
3956.45 0.128 Fe
3956.56 0.021 Ca
3956.68 0.091 Fe
3956.86 0.024 Ca
3957.01 0.122 Fe
3957.07 0.064 Ca
3957.52 0.026 Ca
3957.77 0.026 Ca
3957.93 0.107 Co
3958.06 0.027 Ca
3958.19 0.084 Ti
3958.25 0.049 Zr
3960.15 0.037 Ca
3960.28 0.040 Fe
3960.93 0.042 Ca
3961.00 0.042 Ca
3961.14 0.074 Fe
3961.29 0.045 Ca
3961.46 0.091 Al
3961.56 0.011 13CH
3961.58 0.090 Al
3961.78 0.012 13CH
3962.01 0.054 Ca
3962.17 0.141 12CH
3962.27 0.054 Ca
3962.34 0.022 Fe
3962.39 0.149 12CH
3962.43 0.020 13CH
3962.72 0.065 Ca
3962.85 0.083 Ti
3962.97 0.069 Ca
3963.10 0.089 Fe
3963.17 0.240 12CH
3963.56 0.085 Ca
3963.68 0.047 Cr
3964.14 0.103 Ca
3964.27 0.071 Ti
3964.40 0.112 Ca
3964.52 0.081 Fe
3965.39 0.170 Ca
3965.51 0.028 Fe
3965.73 0.197 Ca
3965.89 0.022 Fe
3965.92 0.188 Ca
3966.06 0.054 Fe
3966.35 0.256 Ca
3966.52 0.042 Fe
3966.62 0.049 Fe
3966.95 0.295 Ca
3967.53 0.194 Ca
3969.12 0.084 Ca
3969.26 0.018 Fe
3969.57 0.216 Ca
3969.67 0.217 Ca
3970.39 0.034 Fe
3970.61 0.224 Ca
3971.32 0.081 Fe
3971.47 0.170 Ca
3971.56 0.011 13CH
3971.77 0.011 13CH
3971.85 0.145 Ca
3972.16 0.091 Ni
3972.24 0.135 12CH
3972.34 0.113 Ca
3972.44 0.140 12CH
3972.58 0.120 Ca
3973.14 0.026 Co
3973.26 0.086 Ca
3973.56 0.106 Ni
3973.60 0.018 13CH
3973.63 0.053 V
3973.65 0.039 Fe
3973.72 0.145 Ca
3974.16 0.058 Fe
3974.26 0.061 Ca
3974.43 0.201 12CH
3974.55 0.050 Ca
3974.62 0.013 Ni
3974.66 0.085 Fe
3974.72 0.072 Co
3974.90 0.052 Ca
3975.20 0.030 Fe
3975.32 0.046 Ca
3975.84 0.019 Fe
3975.95 0.040 Ca
3976.39 0.023 Fe
3976.44 0.034 Ca
3976.60 0.118 Fe
3976.66 0.035 Cr
3976.78 0.033 Ca
3976.95 0.032 Ca
3977.74 0.090 Fe
3977.91 0.026 Ca
3978.16 0.018 Fe
3978.26 0.024 Ca
3978.50 0.023 Ca
3978.65 0.084 Co
3978.79 0.022 Ca
3979.12 0.015 Fe
3979.23 0.021 Ca
3979.52 0.150 Co
3979.64 0.024 Fe
3979.76 0.019 Ca
3980.63 0.015 Fe
3980.74 0.016 Ca
3981.10 0.075 Fe
3981.24 0.015 Ca
3981.61 0.021 Fe
3981.75 0.058 Ti
3981.79 0.036 Fe
3981.88 0.013 Ca
3981.99 0.149 Ti
3982.14 0.013 Ca
3982.31 0.013 Ca
3982.44 0.010 13CH
3982.48 0.107 Ti
3982.59 0.136 Y
3982.75 0.013 Ca
3983.00 0.127 12CH
3983.09 0.011 Ca
3983.19 0.131 12CH
3983.29 0.011 Ca
3983.36 0.048 Fe
3983.49 0.011 Ca
3983.90 0.029 Cr
3983.96 0.134 Fe
3984.11 0.011 Ca
3984.42 0.010 Ca
3984.93 0.013 Fe
3985.37 0.127 Fe
3986.06 0.013 13CH
3986.17 0.141 Fe
3986.75 0.122 Mg
3987.02 0.165 12CH
3987.12 0.025 Co
3987.61 0.135 Ti
3989.00 0.014 Fe
3989.06 0.026 Sc
3989.76 0.133 Ti
3989.86 0.066 Fe
3990.30 0.020 Co
3990.37 0.082 Fe
3991.11 0.025 Cr
3991.15 0.108 Zr
3991.69 0.044 Co
3994.10 0.076 Fe
3994.50 0.117 12CH
3994.54 0.023 Co
3994.69 0.120 12CH
3995.20 0.011 Fe
3995.31 0.097 Co
3995.98 0.126 Fe
3996.60 0.010 Sc
3996.96 0.078 Fe
3997.11 0.062 V
3997.39 0.100 Fe
3997.90 0.221 Co
3998.05 0.128 Fe
3998.54 0.018 Co
3998.64 0.105 Ti
3998.95 0.115 Zr
4000.25 0.047 Fe
4000.46 0.073 Fe
4001.07 0.091 12CH
4001.66 0.144 Fe
4002.07 0.044 Fe
4002.66 0.011 Fe
4002.93 0.044 V
4003.17 0.011 Fe
4003.76 0.055 Fe
4004.91 0.092 Fe
4005.19 0.085 Fe
4005.36 0.118 Fe
4005.70 0.103 V
4006.31 0.120 Fe
4006.62 0.091 Fe
4006.81 0.106 12CH
4006.99 0.108 12CH
4007.27 0.141 Fe
4008.86 0.027 Fe
4008.93 0.136 Ti
4009.65 0.039 Ti
4009.71 0.105 Fe
4010.17 0.013 Fe
4010.74 0.035 Ca
4010.78 0.027 Fe
4011.41 0.053 Fe
4011.71 0.042 Fe
4011.88 0.017 Fe
4012.15 0.031 Fe
4012.38 0.109 Ti
4013.64 0.067 Fe
4013.81 0.074 Fe
4013.94 0.014 Co
4014.27 0.016 Fe
4014.48 0.099 Sc
4014.54 0.112 Fe
4015.47 0.027 Fe
4015.60 0.045 Fe
4016.42 0.060 Fe
4017.13 0.161 Fe
4017.15 0.029 12CH
4017.46 0.046 Fe
4018.10 0.091 Mn
4018.27 0.085 Fe
4018.37 0.013 Zr
4019.04 0.024 Fe
4020.02 0.097 12CH
4020.18 0.098 12CH
4020.48 0.054 Sc
4020.90 0.137 Co
4021.62 0.028 Fe
4021.87 0.118 Fe
4022.21 0.015 Fe
4022.74 0.012 Fe
4023.38 0.083 V
4023.68 0.075 Sc
4024.09 0.020 Fe
4024.42 0.016 Zr
4024.57 0.137 Ti
4024.72 0.139 Fe
4025.13 0.138 Ti
4025.31 0.016 12CH
4025.82 0.017 12CH
4026.09 0.026 12CH
4026.53 0.021 12CH
4026.54 0.014 Ti
4026.92 0.012 Fe
4027.03 0.096 Co
4027.26 0.011 12CH
4027.91 0.017 12CH
4028.27 0.019 12CH
4028.34 0.148 Ti
4029.62 0.065 Fe
4029.68 0.063 Zr
4030.18 0.113 Fe
4030.49 0.137 Fe
4030.71 0.071 Mn
4030.78 0.018 12CH
4030.79 0.069 Mn
4030.89 0.046 Fe
4031.10 0.018 12CH
4031.24 0.067 Fe
4031.96 0.109 Fe
4032.46 0.049 Fe
4032.63 0.129 Fe
4033.09 0.075 Mn
4033.19 0.025 Fe
4033.78 0.010 12CH
4034.10 0.012 Zr
4034.24 0.087 12CH
4034.38 0.087 12CH
4034.49 0.080 Mn
4034.83 0.020 12CH
4035.11 0.016 12CH
4035.59 0.015 Fe
4035.62 0.070 V
4035.72 0.105 Mn
4036.37 0.014 Fe
4036.67 0.019 12CH
4036.76 0.031 V
4037.12 0.019 Fe
4037.14 0.018 12CH
4038.11 0.025 12CH
4038.62 0.035 Fe
4039.86 0.025 12CH
4040.09 0.014 Fe
4040.29 0.019 12CH
4040.51 0.038 12CH
4040.64 0.098 Fe
4041.27 0.043 Fe
4041.36 0.193 Mn
4041.65 0.030 Fe
4043.33 0.031 12CH
4043.69 0.024 Fe
4043.82 0.036 12CH
4043.91 0.155 Fe
4044.38 0.011 12CH
4044.60 0.153 Fe
4045.12 0.016 Fe
4045.30 0.015 Fe
4045.36 0.015 12CH
4045.39 0.125 Co
4045.62 0.180 Fe
4045.64 0.036 Zr
4045.69 0.184 Fe
4045.92 0.184 Fe
4047.30 0.047 Fe
4047.67 0.036 12CH
4048.06 0.041 12CH
4048.68 0.078 Zr
4048.75 0.090 Mn
4049.33 0.044 Fe
4049.56 0.075 12CH
4049.71 0.065 12CH
4050.32 0.038 Zr
4050.68 0.015 12CH
4051.36 0.019 12CH
4051.91 0.046 Fe
4052.30 0.015 Fe
4052.46 0.036 Fe
4052.72 0.038 Fe
4052.94 0.038 12CH
4053.26 0.043 12CH
4053.26 0.030 Fe
4053.82 0.138 Ti
4054.18 0.019 Fe
4054.83 0.162 Fe
4055.01 0.016 Ti
4055.04 0.099 Fe
4055.54 0.124 Mn
4056.19 0.067 Ti
4056.43 0.011 Fe
4057.20 0.043 Co
4057.34 0.071 Fe
4057.51 0.147 Mg
4057.65 0.017 Fe
4057.72 0.019 12CH
4058.18 0.039 Co
4058.22 0.086 Fe
4058.24 0.022 12CH
4058.60 0.014 Co
4058.75 0.105 Fe
4058.93 0.059 Mn
4059.21 0.040 12CH
4059.48 0.043 12CH
4059.71 0.037 Fe
4060.26 0.031 Ti
4061.10 0.026 Fe
4062.44 0.137 Fe
4063.28 0.137 Fe
4063.49 0.127 Fe
4063.51 0.011 Mn
4063.69 0.142 Fe
4064.03 0.023 Fe
4064.21 0.020 Ti
4064.36 0.016 Ti
4064.45 0.073 Fe
4065.10 0.025 Ti
4065.38 0.049 Fe
4065.58 0.021 12CH
4066.01 0.026 12CH
4066.21 0.062 12CH
4066.37 0.098 Co
4066.56 0.045 12CH
4066.59 0.071 Fe
4066.80 0.042 12CH
4066.97 0.135 Fe
4067.27 0.144 Fe
4067.98 0.142 Fe
4068.54 0.026 Co
4069.07 0.027 Fe
4069.66 0.016 Fe
4070.27 0.018 Mn
4070.45 0.014 Fe
4070.77 0.134 Fe
4071.54 0.123 Fe
4071.64 0.127 Fe
4071.82 0.125 Fe
4072.50 0.045 Fe
4073.76 0.117 Fe
4074.32 0.022 12CH
4074.68 0.025 12CH
4074.78 0.130 Fe
4074.89 0.018 Ni
4075.12 0.038 12CH
4075.32 0.029 12CH
4076.12 0.015 Co
4076.22 0.034 Fe
4076.50 0.080 Fe
4076.63 0.145 Fe
4076.81 0.100 Fe
4077.62 0.152 Sr
4077.80 0.152 Sr
4078.35 0.142 Fe
4078.47 0.071 Ti
4079.17 0.024 Fe
4079.24 0.061 Mn
4079.41 0.053 Mn
4079.84 0.128 Fe
4080.21 0.089 Fe
4080.88 0.031 Fe
4082.11 0.048 Fe
4082.39 0.011 Sc
4082.42 0.020 Fe
4082.45 0.027 Ti
4082.94 0.072 Mn
4083.55 0.063 Fe
4083.63 0.075 Mn
4083.76 0.059 Fe
4084.00 0.025 12CH
4084.36 0.050 12CH
4084.49 0.136 Fe
4085.00 0.130 Fe
4085.01 0.032 12CH
4085.30 0.137 Fe
4085.98 0.012 Fe
4086.30 0.069 Co
4087.09 0.060 Fe
4088.56 0.023 Fe
4089.22 0.042 Fe
4090.07 0.025 Fe
4090.53 0.045 Zr
4090.57 0.013 V
4090.95 0.027 Fe
4091.55 0.051 Fe
4092.28 0.028 Fe
4092.39 0.160 Co
4092.50 0.030 Fe
4092.63 0.032 Ca
4092.68 0.049 V
4094.68 0.024 12CH
4094.93 0.047 Ca
4094.97 0.025 12CH
4095.97 0.142 Fe
4096.21 0.015 Fe
4096.43 0.018 12CH
4096.61 0.014 Zr
4097.08 0.033 Fe
4098.18 0.120 Fe
4098.53 0.062 Ca
4099.78 0.068 V
4100.16 0.057 Fe
4100.74 0.125 Fe
4101.26 0.045 Fe
4102.94 0.106 Si
4104.11 0.079 Fe
4104.57 0.013 12CH
4104.95 0.013 Fe
4105.16 0.064 V
4106.26 0.064 Fe
4106.42 0.039 Fe
4106.46 0.024 12CH
4106.71 0.023 12CH
4107.49 0.136 Fe
4108.13 0.022 Fe
4108.53 0.034 Ca
4109.06 0.047 Fe
4109.75 0.034 V
4109.80 0.130 Fe
4110.53 0.160 Co
4111.00 0.017 Cr
4111.78 0.150 V
4112.32 0.036 Fe
4112.71 0.050 Ti
4112.95 0.055 Fe
4114.45 0.136 Fe
4114.94 0.048 Fe
4115.18 0.088 V
4116.49 0.040 V
4117.85 0.020 Fe
4118.54 0.121 Fe
4118.78 0.159 Co
4118.89 0.068 Fe
4119.43 0.021 12CH
4119.52 0.020 Fe
4119.67 0.016 12CH
4120.21 0.121 Fe
4121.32 0.117 Co
4121.80 0.122 Fe
4122.52 0.127 Fe
4123.50 0.046 V
4123.75 0.098 Fe
4124.91 0.020 Y
4125.62 0.038 Fe
4125.88 0.037 Fe
4126.18 0.114 Fe
4126.85 0.021 Fe
4127.61 0.141 Fe
4127.79 0.060 Fe
4128.06 0.064 V
4128.12 0.035 Mn
4128.74 0.046 Fe
4129.15 0.059 Ti
4129.46 0.016 Fe
4130.04 0.033 Fe
4130.52 0.021 Co
4131.98 0.094 Fe
4131.98 0.034 V
4132.09 0.079 Fe
4132.53 0.020 Fe
4132.90 0.145 Fe
4133.77 0.016 12CH
4133.86 0.081 Fe
4134.01 0.012 12CH
4134.35 0.167 Fe
4134.49 0.048 V
4134.68 0.120 Fe
4135.13 0.010 12CH
4136.52 0.043 Fe
4137.00 0.140 Fe
4138.14 0.013 12CH
4138.84 0.018 Fe
4139.93 0.134 Fe
4140.41 0.033 Fe
4141.24 0.014 Co
4141.61 0.017 12CH
4141.87 0.049 Fe
4142.29 0.011 12CH
4142.54 0.011 12CH
4142.59 0.012 Fe
4143.43 0.123 Fe
4143.81 0.095 Fe
4143.92 0.088 Fe
4145.20 0.019 Fe
4145.57 0.028 12CH
4145.86 0.013 12CH
4146.06 0.042 Fe
4146.99 0.039 Fe
4147.34 0.026 Fe
4147.67 0.107 Fe
4149.22 0.129 Zr
4149.34 0.018 12CH
4149.37 0.118 Fe
4149.59 0.024 12CH
4149.76 0.034 12CH
4149.76 0.069 Fe
4150.25 0.066 Fe
4150.43 0.026 Co
4150.99 0.047 Zr
4151.95 0.034 Fe
4152.17 0.142 Fe
4153.41 0.020 12CH
4153.63 0.020 12CH
4153.90 0.142 Fe
4154.10 0.058 Fe
4154.34 0.037 12CH
4154.50 0.123 Fe
4154.80 0.143 Fe
4156.28 0.064 Zr
4156.45 0.043 Fe
4156.80 0.134 Fe
4157.78 0.135 Fe
