# wave rel_strength element
3569.49 0.140 Mn
3569.80 0.081 Mn
3569.95 0.217 Fe
3570.19 0.144 Fe
3570.33 0.148 Fe
3571.22 0.147 Fe
3571.86 0.074 Ni
3572.00 0.098 Fe
3572.31 0.034 Fe
3572.45 0.049 Zr
3572.57 0.034 Sc
3572.61 0.058 Fe
3573.05 0.027 Fe
3573.06 0.083 Zr
3573.39 0.125 Fe
3573.68 0.028 Fe
3573.74 0.091 Ti
3573.86 0.179 Fe
3574.24 0.037 Fe
3574.34 0.013 Cr
3574.35 0.011 V
3574.96 0.113 Co
3575.12 0.147 Fe
3575.24 0.141 Fe
3575.34 0.078 Co
3575.75 0.015 Fe
3575.98 0.148 Fe
3576.31 0.077 Sc
3576.37 0.076 Sc
3576.75 0.068 Fe
3576.77 0.045 Ni
3576.84 0.132 Zr
3577.24 0.077 Ni
3577.87 0.157 Mn
3578.02 0.033 Co
3578.21 0.024 Zr
3578.38 0.130 Fe
3578.73 0.077 Cr
3578.90 0.015 Fe
3578.90 0.017 Co
3579.03 0.021 Co
3579.55 0.025 Fe
3579.83 0.045 Fe
3580.21 0.044 Fe
3580.41 0.075 Fe
3580.81 0.111 Fe
3580.90 0.059 Sc
3581.04 0.235 Fe
3581.37 0.260 Fe
3581.64 0.192 Fe
3581.80 0.162 Fe
3582.20 0.143 Fe
3582.31 0.117 Fe
3582.57 0.066 Fe
3582.68 0.065 Fe
3583.33 0.155 Fe
3583.68 0.093 Fe
3583.90 0.023 Fe
3584.15 0.105 Fe
3584.34 0.016 Cr
3584.52 0.137 Y
3584.76 0.100 Fe
3584.82 0.037 Co
3584.96 0.112 Fe
3585.14 0.098 Co
3585.24 0.117 Fe
3585.39 0.115 Fe
3585.51 0.099 Cr
3585.61 0.112 Fe
3585.76 0.088 Fe
3586.02 0.159 Fe
3586.36 0.013 Fe
3586.52 0.030 Fe
3586.54 0.079 Mn
3586.74 0.155 Fe
3586.91 0.110 Fe
3587.05 0.099 Fe
3587.11 0.061 Ti
3587.20 0.028 Co
3587.26 0.079 Fe
3587.42 0.145 Fe
3587.75 0.113 Fe
3587.92 0.085 Ni
3587.96 0.017 Zr
3588.30 0.065 Zr
3588.55 0.187 Fe
3588.92 0.145 Fe
3589.10 0.082 Fe
3589.45 0.129 Fe
3589.64 0.093 Sc
3589.76 0.125 V
3590.08 0.073 Fe
3590.28 0.014 Fe
3590.45 0.100 Sc
3591.00 0.040 Fe
3591.38 0.167 Fe
3591.71 0.014 Fe
3592.02 0.124 V
3592.47 0.046 Fe
3592.68 0.073 Fe
3592.89 0.031 Fe
3593.08 0.092 Ti
3593.31 0.014 Fe
3593.34 0.107 V
3593.51 0.077 Cr
3594.64 0.106 Fe
3594.87 0.101 Co
3595.11 0.028 Mn
3595.30 0.146 Fe
3595.67 0.025 Fe
3595.86 0.093 Fe
3596.05 0.084 Ti
3596.20 0.107 Fe
3596.50 0.039 Ti
3597.03 0.165 Fe
3597.68 0.076 Ni
3597.72 0.075 Ni
3598.71 0.035 Ti
3598.72 0.052 Fe
3598.98 0.079 Fe
3599.62 0.135 Fe
3600.47 0.048 Fe
3600.73 0.104 Y
3601.17 0.014 Zr
3601.92 0.127 Y
3602.08 0.112 Co
3602.28 0.108 Ni
3602.49 0.201 Fe
3602.72 0.041 Fe
3603.20 0.088 Fe
3603.58 0.074 Fe
3603.62 0.064 Cr
3603.68 0.095 Fe
3603.77 0.077 Cr
3603.82 0.110 Fe
3604.28 0.015 Ti
3604.37 0.095 Fe
3604.70 0.062 Fe
3604.96 0.014 Fe
3605.01 0.017 Co
3605.20 0.131 Fe
3605.29 0.065 Cr
3605.39 0.057 Co
3605.51 0.078 Fe
3605.98 0.015 Co
3606.38 0.041 Fe
3606.56 0.189 Fe
3606.85 0.014 Ni
3607.37 0.020 Zr
3607.53 0.063 Mn
3608.14 0.146 Fe
3608.48 0.061 Mn
3608.75 0.193 Fe
3608.96 0.196 Fe
3609.31 0.087 Ni
3609.45 0.021 Fe
3609.54 0.037 Pd
3610.22 0.091 Fe
3610.30 0.037 Mn
3610.45 0.075 Ni
3610.70 0.127 Fe
3611.04 0.111 Y
3611.42 0.012 Ni
3611.48 0.093 Fe
3611.55 0.013 Ni
3611.70 0.044 Co
3611.89 0.048 Zr
3612.07 0.116 Fe
3612.74 0.081 Ni
3612.94 0.145 Fe
3613.10 0.113 Zr
3613.15 0.084 Fe
3613.18 0.044 Cr
3613.32 0.012 Ti
3613.44 0.136 Fe
3613.61 0.067 Fe
3613.76 0.073 Sc
3613.89 0.073 Sc
3614.11 0.123 Fe
3614.56 0.037 Fe
3614.87 0.023 Fe
3615.19 0.056 Fe
3615.39 0.021 Co
3615.66 0.138 Fe
3616.16 0.104 Fe
3616.32 0.094 Fe
3616.57 0.029 Fe
3617.10 0.019 Fe
3617.32 0.116 Fe
3617.78 0.098 Fe
3617.96 0.084 Fe
3618.01 0.011 Co
3618.33 0.189 Fe
3618.63 0.245 Fe
3618.88 0.210 Fe
3619.27 0.031 Mn
3619.31 0.122 Ni
3619.47 0.130 Ni
3619.77 0.092 Fe
3619.93 0.024 Fe
3620.03 0.058 Ni
3620.24 0.083 Fe
3620.47 0.130 Fe
3620.88 0.056 Fe
3621.10 0.079 Fe
3621.21 0.059 Co
3621.21 0.013 V
3621.46 0.082 Fe
3621.72 0.099 Fe
3622.00 0.087 Fe
3622.26 0.140 Fe
3623.19 0.094 Fe
3623.45 0.140 Fe
3623.78 0.140 Fe
3623.98 0.022 Zr
3624.05 0.071 Fe
3624.11 0.104 Ca
3624.29 0.179 Fe
3624.73 0.095 Ni
3624.83 0.093 Ti
3624.96 0.089 Co
3625.14 0.131 Fe
3626.11 0.020 Fe
3627.06 0.033 Fe
3627.15 0.018 12CH
3627.43 0.015 12CH
3627.68 0.036 12CH
3627.70 0.112 Ti
3627.81 0.126 Co
3628.07 0.032 12CH
3628.09 0.110 Fe
3628.27 0.019 12CH
3628.70 0.120 Y
3628.81 0.026 Fe
3628.99 0.030 12CH
3629.35 0.037 12CH
3629.76 0.012 12CH
3629.90 0.019 Ni
3630.00 0.072 Zr
3630.35 0.139 Fe
3630.71 0.072 Sc
3630.98 0.080 Ca
3631.11 0.117 Fe
3631.28 0.035 12CH
3631.30 0.134 Fe
3631.36 0.047 Co
3631.57 0.041 12CH
3631.58 0.195 Fe
3631.68 0.049 Cr
3632.04 0.115 Fe
3632.55 0.142 Fe
3633.01 0.173 Fe
3633.13 0.101 Y
3633.29 0.015 12CH
3633.49 0.011 Zr
3633.84 0.116 Fe
3634.19 0.121 Fe
3634.35 0.172 Fe
3634.59 0.038 12CH
3634.70 0.110 Fe
3634.85 0.042 12CH
3634.95 0.114 Ni
3635.03 0.039 Fe
3635.18 0.129 Fe
3635.35 0.157 Ti
3635.64 0.029 12CH
3635.75 0.140 Fe
3636.19 0.206 Fe
3636.25 0.036 12CH
3636.30 0.015 Ni
3636.43 0.045 Zr
3636.48 0.072 Fe
3636.58 0.010 Cr
3636.66 0.108 Fe
3636.71 0.018 Co
3637.00 0.162 Fe
3637.08 0.043 12CH
3637.25 0.132 Fe
3637.86 0.143 Fe
3637.96 0.030 Ti
3638.27 0.124 Fe
3638.59 0.019 12CH
3638.92 0.048 12CH
3639.25 0.034 12CH
3639.44 0.068 Co
3639.44 0.056 12CH
3639.52 0.011 Fe
3639.80 0.052 Cr
3640.39 0.084 Fe
3640.92 0.017 V
3641.02 0.013 Fe
3641.33 0.088 Ti
3641.45 0.039 Fe
3641.78 0.025 Co
3641.83 0.016 Cr
3642.14 0.020 12CH
3642.28 0.053 12CH
3642.39 0.020 Ni
3642.48 0.011 Fe
3642.67 0.085 Ti
3642.69 0.065 12CH
3642.83 0.074 Sc
3642.96 0.026 12CH
3643.18 0.046 Co
3643.21 0.017 Cr
3643.75 0.188 Fe
3644.41 0.150 Ca
3644.58 0.017 Fe
3644.63 0.034 12CH
3644.69 0.020 Cr
3644.76 0.062 Ca
3644.80 0.080 Fe
3644.85 0.023 12CH
3645.07 0.132 Fe
3645.19 0.014 Co
3645.30 0.090 Sc
3645.49 0.169 Fe
3645.82 0.137 Fe
3646.20 0.061 Ti
3646.50 0.062 12CH
3646.84 0.074 12CH
3646.98 0.052 Fe
3647.09 0.011 Co
3647.43 0.169 Fe
3647.57 0.129 Fe
3647.66 0.088 Co
3647.67 0.025 12CH
3647.73 0.194 Fe
3647.98 0.244 Fe
3648.24 0.032 12CH
3648.71 0.121 Fe
3648.82 0.040 Ti
3648.99 0.011 Cr
3649.00 0.056 Ti
3649.31 0.088 Fe
3649.50 0.088 Fe
3649.83 0.039 Fe
3650.07 0.204 Fe
3650.28 0.104 Fe
3650.53 0.081 Fe
3650.97 0.023 Cr
3651.09 0.087 Fe
3651.25 0.011 Co
3651.47 0.084 Fe
3651.63 0.091 12CH
3651.79 0.095 Sc
3651.90 0.089 12CH
3651.92 0.021 Fe
3652.54 0.177 Co
3652.66 0.031 Fe
3653.35 0.047 Fe
3653.49 0.095 Ti
3653.75 0.135 Fe
3653.91 0.010 Cr
3653.94 0.030 12CH
3653.97 0.075 Fe
3654.38 0.037 12CH
3654.44 0.019 Co
3654.59 0.109 Ti
3654.67 0.052 Fe
3655.00 0.046 Fe
3655.46 0.143 Fe
3655.55 0.014 Zr
3656.21 0.134 Fe
3656.26 0.028 Cr
3656.34 0.043 Fe
3656.96 0.064 Co
3657.13 0.126 Fe
3657.71 0.076 12CH
3657.90 0.095 Fe
3657.94 0.085 12CH
3658.09 0.127 Ti
3658.13 0.028 Fe
3658.55 0.037 Fe
3659.52 0.110 Fe
3659.76 0.109 Ti
3660.33 0.044 Fe
3660.63 0.088 Ti
3660.77 0.016 Fe
3661.03 0.038 12CH
3661.36 0.052 Fe
3661.38 0.042 12CH
3661.94 0.147 Ni
3662.13 0.011 Zr
3662.16 0.061 Co
3662.23 0.108 Ti
3662.83 0.094 Fe
3663.20 0.011 Cr
3663.26 0.072 Fe
3663.44 0.146 Fe
3663.96 0.062 Fe
3664.09 0.099 Ni
3664.24 0.036 Sc
3664.54 0.138 Fe
3664.61 0.137 Y
3664.71 0.080 Fe
3664.82 0.080 12CH
3665.03 0.085 12CH
3666.06 0.026 Fe
3666.25 0.136 Fe
3666.53 0.178 Sc
3666.79 0.041 Fe
3666.96 0.038 Fe
3667.25 0.143 Fe
3667.41 0.015 Fe
3667.99 0.132 Fe
3668.21 0.082 Fe
3668.43 0.071 Zr
3668.89 0.045 Fe
3668.96 0.094 Ti
3668.97 0.040 12CH
3669.15 0.142 Fe
3669.24 0.133 Ni
3669.27 0.045 12CH
3669.42 0.030 V
3669.52 0.101 Fe
3669.68 0.060 Fe
3670.05 0.215 Fe
3670.43 0.103 Ni
3670.62 0.012 Fe
3670.81 0.112 Fe
3671.26 0.084 Zr
3671.67 0.102 Ti
3671.69 0.030 Fe
3672.11 0.011 Fe
3672.67 0.015 Zr
3672.71 0.096 Fe
3673.02 0.082 12CH
3673.08 0.070 Fe
3673.20 0.070 12CH
3673.68 0.011 Fe
3674.03 0.012 Fe
3674.08 0.176 Ni
3674.41 0.061 Fe
3674.76 0.133 Fe
3675.26 0.039 Sc
3675.44 0.030 Fe
3675.69 0.019 Fe
3676.31 0.129 Fe
3676.55 0.048 Co
3676.87 0.081 Fe
3677.31 0.135 Fe
3677.47 0.199 Fe
3677.68 0.060 Cr
3677.82 0.042 12CH
3677.86 0.117 Cr
3678.08 0.047 12CH
3678.22 0.011 Ca
3678.86 0.137 Fe
3678.99 0.102 Fe
3679.68 0.124 Ti
3679.83 0.129 Fe
3680.00 0.128 Fe
3680.35 0.105 Fe
3680.67 0.147 Fe
3680.94 0.017 Fe
3681.22 0.136 Fe
3681.64 0.088 Fe
3681.87 0.037 Fe
3682.18 0.141 Fe
